ĐẶC TẢ TÍNH NĂNG — AIRGUARD AI,,,,,,,,,,
Cập nhật,06/08/2026,Mục tiêu,"Chốt rõ tính năng MVP, agent liên quan, tool/API cần có và tiêu chí nghiệm thu.",,,,,,,
Ghi chú,"Tập trung MVP: PM2.5 ngoài trời, 5 sensor giả lập, dashboard, AI Agent tool-calling, warning proposal và HITL.",,,,,,,,,
Mã,Nhóm,Tính năng,Mô tả chi tiết,Người dùng/Actor,Agent/Tool liên quan,API/Data phụ thuộc,Trạng thái,Priority,Acceptance Criteria,
FT-01,Dashboard,Bản đồ PM2.5 realtime,"Hiển thị 5 điểm sensor trên bản đồ OpenStreetMap/Leaflet. Marker đổi màu theo mức PM2.5 và có popup station_name, pm25, status, measured_at.","User, Manager",Không bắt buộc Agent; dùng dữ liệu từ Data Retrieval Tool,GET /api/v1/stations; GET /api/v1/stations/{id}/current,Đang tích hợp,Must,Hiển thị đủ 5/5 sensor; không trắng màn hình; có timestamp rõ ràng.,
FT-02,Dashboard,Chi tiết trạm và lịch sử,"Khi bấm vào sensor, hiển thị chi tiết trạm, PM2.5 hiện tại, trạng thái online/offline/stale, biểu đồ lịch sử 24h.","User, Manager",get_station_history,GET /api/v1/stations/{id}/history?hours=24,Đang làm,Must,Xem được history ít nhất 1 trạm; nếu thiếu dữ liệu phải hiển thị empty/error state.,
FT-03,AI Agent,Chat hỏi đáp chất lượng không khí,"Người dùng hỏi bằng tiếng Việt: PM2.5 hiện tại, khu ô nhiễm nhất, có nên chạy bộ không, vì sao có cảnh báo.",User,"Supervisor Agent, Response Agent; tools: get_current_pm25, compare_stations, get_active_alerts",POST /api/v1/agent/chat,Đã có nền tảng,Must,Agent hiểu đúng ≥80% test case; câu trả lời có evidence/timestamp; không bịa số liệu.,
FT-04,AI Agent,So sánh khu vực,"Agent so sánh nhiều station, xếp hạng khu vực PM2.5 cao/thấp và gợi ý khu vực nên tránh hoặc nên chọn.","User, Sensitive User","Supervisor Agent, Sensor Data Agent; tool: compare_stations",GET latest measurements hoặc endpoint compare,"Mock trước, nối API sau",Must,"Trả về ranking, best_station, worst_station; không so sánh dữ liệu stale/offline.",
FT-05,AI Agent,Khuyến nghị hoạt động ngoài trời,"Agent kết hợp PM2.5 hiện tại, thời tiết, forecast và nhóm người dùng để trả lời có nên chạy bộ/ra ngoài hay không.","Outdoor Sport User, Sensitive User","Risk Assessment Agent, Recommendation Agent; tools: get_current_pm25, get_weather_context, get_pm25_forecast, get_user_profile",Weather API/mock; Forecast baseline; user profile mock/API,Đang định nghĩa,Should,Không chẩn đoán y tế; không nói an toàn tuyệt đối; nêu rõ dữ liệu dùng để khuyến nghị.,
FT-06,Alert,Alert Engine rule-based,"Backend phát hiện PM2.5 cao, sudden spike, sensor offline/stale/invalid bằng rule cố định. LLM không tự quyết định threshold.","Manager, Agent",get_active_alerts dùng kết quả Alert Engine,"measurements table, alerts table",Đang làm,Must,Scenario high_pm25 tạo alert đúng; invalid data không tạo alert sai; duplicate alert được kiểm soát.,
FT-07,HITL,Warning Proposal,Agent chỉ tạo đề xuất cảnh báo ở trạng thái pending khi có đủ evidence. Manager là người approve/reject.,Manager,Warning Proposal Agent; tool: create_warning_proposal,POST /api/v1/proposals; PATCH approve/reject,Đang làm,Must,"Agent không tự approve/reject; proposal có reason, evidence, proposed_message, created_at.",
FT-08,Manager UI,Phê duyệt/Từ chối proposal,"Manager xem danh sách pending proposal, xem evidence và quyết định approve/reject kèm lý do.",Manager,Không bắt buộc Agent; Audit/Trace liên quan,GET /api/v1/proposals; PATCH /approve; PATCH /reject,Đang tích hợp,Must,Approve/reject đổi đúng status; mọi hành động được lưu audit log.,
